,Group,OTU5879,OTU7383,OTU9362,OTU12639,OTU13614,OTU13615,OTU13618,OTU13619,OTU13620,OTU13621
0,2NDC300cm_V4_S42,1133,574,833,50,522,105,215,302,190,437
1,2NDC302cm_V4_S50,3905,3743,1928,2404,792,11,99,18,90,1615
2,2NDC307cm_V4_S58,790,512,935,89,872,172,455,193,517,14
3,2NDC313cm_V4_S2,720,930,1183,1212,1189,483,953,273,842,514
4,2NDC316cm_V4_S11,437,491,612,91,597,298,378,159,362,308
5,2NDC320cm_V4_S19,120,219,28,8,77,306,107,80,123,233
6,2NDC322cm_V4_S27,68,243,110,369,146,415,271,80,244,114
7,2NDC330cm_V4_S35,86,181,41,3,124,525,339,232,205,15
8,2NDC400cm_V4_S44,1013,630,841,57,443,92,207,265,168,295
9,2NDC403cm_V4_S52,2442,1591,3284,2737,1557,244,847,627,673,834
10,2NDC411cm_V4_S60,327,389,264,404,332,723,398,192,454,393
11,2NDC421cm_V4_S4,1071,1196,1949,2064,1237,732,706,501,791,741
12,2NDC423cm_V4_S13,245,254,470,710,419,187,195,108,138,223
13,2NDC427cm_V4_S21,322,582,110,16,210,563,681,225,351,384
14,2NDC432cm_V4_S29,105,79,2,5,17,34,33,30,52,2
15,2NDC435cm_V4_S37,222,322,32,247,156,479,317,232,421,258
16,2NDC500cm_V4_S123,2564,1261,1743,1740,1002,159,364,353,249,707
17,2NDC505cm_V4_S129,12051,12064,2451,4419,2774,18,266,26,331,4203
18,2NDC511cm_V4_S135,1232,1441,959,88,1251,783,1061,551,1035,553
19,2NDC515cm_V4_S141,2216,1862,1117,1259,1925,748,888,570,939,1003
20,2NDC525cm_V4_S100,1,0,0,0,0,0,0,0,1,0
21,2NDC534cm_V4_S106,704,641,95,7,291,1718,685,553,714,683
22,2NDC600cm_V4_S112,3047,1464,2035,1579,1302,217,615,431,421,583
23,2NDC603cm_V4_S118,2680,1920,2492,2264,2180,721,936,465,826,791
24,2NDC614cm_V4_S124,62,37,59,67,60,34,37,2,23,20
25,2NDC623cm_V4_S130,956,561,71,38,326,1555,420,390,578,780
26,2NDC629cm_V4_S136,302,918,156,718,650,1614,1100,612,1399,577
27,2NDW300cm_V4_S51,1612,682,1060,116,616,26,435,374,814,299
28,2NDW304cm_V4_S59,356,148,108,18,180,0,194,457,360,9
29,2NDW308cm_V4_S3,1351,130,13,0,648,211,2305,5327,1184,10
30,2NDW311cm_V4_S28,55,86,3,0,27,709,412,215,376,19
31,2NDW317cm_V4_S36,13,182,0,1,14,1130,199,88,278,10
32,2NDW400cm_V4_S45,1207,411,845,861,452,28,204,391,139,31
33,2NDW403cm_V4_S53,1651,1052,1366,1567,683,36,568,1298,1758,575
34,2NDW410cm_V4_S61,1129,12,15,32,587,13,1044,4507,690,18
35,2NDW421cm_V4_S5,1490,1016,749,40,843,557,1590,1231,1475,737
36,2NDW430cm_V4_S14,30,94,1,0,6,1998,357,35,282,36
37,2NDW500cm_V4_S10,806,375,643,51,380,30,185,230,162,202
38,2NDW505cm_V4_S18,1096,716,604,735,723,59,594,674,228,441
39,2NDW513cm_V4_S26,12,131,11,10,13,1285,218,48,410,36
40,2NDW524cm_V4_S34,17,29,0,0,7,1044,178,45,284,18
41,2NDW600cm_V4_S105,2595,2045,2085,1868,1477,60,761,406,654,592
42,2NDW605cm_V4_S99,3459,2671,3321,3214,2021,128,1308,765,479,764
43,2NDW609cm_V4_S111,820,804,432,480,590,1162,938,567,484,565
44,2NDW614cm_V4_S117,48,324,20,24,50,5202,581,79,1180,63
