,Location,Depth (cm),OTU5879,OTU7383,OTU9362,OTU12639,OTU13614,OTU13615,OTU13618,OTU13619,OTU13620,OTU13621
0,C3,00,1133,574,833,50,522,105,215,302,190,437
1,C3,02,3905,3743,1928,2404,792,11,99,18,90,1615
2,C3,07,790,512,935,89,872,172,455,193,517,14
3,C3,13,720,930,1183,1212,1189,483,953,273,842,514
4,C3,16,437,491,612,91,597,298,378,159,362,308
5,C3,20,120,219,28,8,77,306,107,80,123,233
6,C3,22,68,243,110,369,146,415,271,80,244,114
7,C3,30,86,181,41,3,124,525,339,232,205,15
8,C4,00,1013,630,841,57,443,92,207,265,168,295
9,C4,03,2442,1591,3284,2737,1557,244,847,627,673,834
10,C4,11,327,389,264,404,332,723,398,192,454,393
11,C4,21,1071,1196,1949,2064,1237,732,706,501,791,741
12,C4,23,245,254,470,710,419,187,195,108,138,223
13,C4,27,322,582,110,16,210,563,681,225,351,384
14,C4,32,105,79,2,5,17,34,33,30,52,2
15,C4,35,222,322,32,247,156,479,317,232,421,258
16,C5,00,2564,1261,1743,1740,1002,159,364,353,249,707
17,C5,05,12051,12064,2451,4419,2774,18,266,26,331,4203
18,C5,11,1232,1441,959,88,1251,783,1061,551,1035,553
19,C5,15,2216,1862,1117,1259,1925,748,888,570,939,1003
20,C5,25,1,0,0,0,0,0,0,0,1,0
21,C5,34,704,641,95,7,291,1718,685,553,714,683
22,C6,00,3047,1464,2035,1579,1302,217,615,431,421,583
23,C6,03,2680,1920,2492,2264,2180,721,936,465,826,791
24,C6,14,62,37,59,67,60,34,37,2,23,20
25,C6,23,956,561,71,38,326,1555,420,390,578,780
26,C6,29,302,918,156,718,650,1614,1100,612,1399,577
27,W3,00,1612,682,1060,116,616,26,435,374,814,299
28,W3,04,356,148,108,18,180,0,194,457,360,9
29,W3,08,1351,130,13,0,648,211,2305,5327,1184,10
30,W3,11,55,86,3,0,27,709,412,215,376,19
31,W3,17,13,182,0,1,14,1130,199,88,278,10
32,W4,00,1207,411,845,861,452,28,204,391,139,31
33,W4,03,1651,1052,1366,1567,683,36,568,1298,1758,575
34,W4,10,1129,12,15,32,587,13,1044,4507,690,18
35,W4,21,1490,1016,749,40,843,557,1590,1231,1475,737
36,W4,30,30,94,1,0,6,1998,357,35,282,36
37,W5,00,806,375,643,51,380,30,185,230,162,202
38,W5,05,1096,716,604,735,723,59,594,674,228,441
39,W5,13,12,131,11,10,13,1285,218,48,410,36
40,W5,24,17,29,0,0,7,1044,178,45,284,18
41,W6,00,2595,2045,2085,1868,1477,60,761,406,654,592
42,W6,05,3459,2671,3321,3214,2021,128,1308,765,479,764
43,W6,09,820,804,432,480,590,1162,938,567,484,565
44,W6,14,48,324,20,24,50,5202,581,79,1180,63
