,Group,OTU37,OTU365,OTU370,OTU423,OTU567,OTU598,OTU733,OTU982,OTU1123,OTU1225,OTU1389,OTU1700,OTU2031,OTU2040,OTU2094,OTU2159,OTU2430,OTU2437,OTU3033,OTU3274,OTU4108,OTU4183,OTU4187,OTU4263,OTU4269,OTU4522,OTU5482,OTU5892,OTU6393,OTU6808,OTU7186,OTU7702,OTU7708,OTU8590,OTU9959,OTU9963,OTU10035,OTU10567,OTU10602,OTU10904,OTU10906,OTU11463,OTU11464,OTU11465,OTU11466,OTU12550,OTU13682,OTU13683,OTU13684,OTU13694,OTU13696,OTU13719,OTU13721,OTU13723,OTU13724,OTU13725,OTU13732,OTU13734,OTU13735,OTU13737,OTU13738,OTU13739,OTU14014,OTU17659,OTU17660,OTU17661,OTU17662,OTU17663
0,2NDC300cm_V4_S42,1133,574,833,50,522,105,215,302,190,437,421,494,610,38,315,665,207,172,266,126,220,234,147,273,482,749,200,197,256,122,419,166,542,184,86,695,39,545,92,69,22,53,920,176,60,124,34,584,188,127,26,80,107,248,22,250,38,25,108,14,73,357,32,102,34,17,64,17
1,2NDC302cm_V4_S50,3905,3743,1928,2404,792,11,99,18,90,1615,847,0,1682,6,241,750,1262,32,664,975,38,34,460,17,78,284,764,300,1,355,50,440,217,328,9,48,34,136,17,121,2,542,100,70,94,265,4,26,458,316,8,7,681,27,28,292,44,155,972,1,48,257,20,6,7,13,5,6
2,2NDC307cm_V4_S58,790,512,935,89,872,172,455,193,517,14,611,610,326,94,496,281,224,221,756,137,69,256,211,245,486,164,387,216,329,341,187,144,266,126,280,116,111,233,86,350,63,45,859,90,191,95,84,181,203,172,146,136,176,218,41,76,71,66,109,4,124,120,76,120,161,34,65,27
3,2NDC313cm_V4_S2,720,930,1183,1212,1189,483,953,273,842,514,807,300,542,523,667,342,293,543,423,239,152,440,321,233,253,214,582,382,181,546,523,212,229,218,685,489,249,473,120,569,107,206,139,103,316,120,267,100,214,331,520,227,179,174,113,74,120,351,90,14,294,127,159,603,590,66,183,11
4,2NDC316cm_V4_S11,437,491,612,91,597,298,378,159,362,308,467,127,198,210,436,252,211,182,297,79,59,154,164,188,193,81,270,156,60,276,328,89,140,89,334,93,130,434,46,311,88,116,567,28,82,65,105,74,155,108,216,122,55,151,75,37,67,111,83,14,90,41,96,139,177,56,134,5
5,2NDC320cm_V4_S19,120,219,28,8,77,306,107,80,123,233,19,7,51,89,56,27,48,147,33,179,578,61,28,73,8,85,16,37,4,90,37,58,58,89,38,103,85,23,41,40,75,1,56,17,44,54,13,1,10,3,29,39,58,55,93,34,90,132,3,69,25,2,78,0,47,84,77,12
6,2NDC322cm_V4_S27,68,243,110,369,146,415,271,80,244,114,53,0,22,157,61,24,53,200,37,150,177,78,74,17,7,64,14,39,0,70,24,78,34,89,239,23,136,34,33,127,92,19,58,5,94,56,53,1,1,22,165,43,2,14,171,13,107,104,1,117,61,0,89,0,412,51,86,3
7,2NDC330cm_V4_S35,86,181,41,3,124,525,339,232,205,15,30,0,40,300,40,21,48,400,15,131,576,139,57,14,4,82,6,31,0,57,100,86,37,88,85,38,241,22,78,89,175,15,180,16,59,88,77,0,3,5,148,20,4,6,404,8,192,98,2,511,58,1,127,1,164,72,111,0
8,2NDC400cm_V4_S44,1013,630,841,57,443,92,207,265,168,295,374,535,534,23,373,631,183,128,261,117,152,204,135,240,427,773,154,182,260,124,623,149,464,110,75,544,40,477,115,136,21,262,808,100,51,95,30,337,147,117,37,78,130,240,19,155,31,23,108,3,75,429,26,127,28,10,55,14
9,2NDC403cm_V4_S52,2442,1591,3284,2737,1557,244,847,627,673,834,1740,2027,984,74,1029,755,376,239,1291,230,198,538,646,947,1396,445,725,643,1151,431,379,428,625,340,785,331,152,652,109,819,35,806,159,111,225,288,129,833,462,453,105,255,354,567,65,185,81,69,351,8,203,339,109,169,129,40,132,65
